State,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Idaho,Furnishings and durable household equipment (USD/Capita),564,595,656,726,726,740,760,837,960,1031,990,893,765,745,735,759,806,839,896,935,976,1040,1092
Idaho,Recreational goods and vehicles (USD/Capita),666,709,761,834,816,826,900,1016,1159,1189,1204,1122,985,965,995,1015,1101,1168,1253,1358,1444,1491,1540
Idaho,Other durable goods (USD/Capita),288,294,308,333,316,320,349,382,421,460,502,484,478,489,503,519,540,551,563,560,566,580,581
Idaho,Nondurable goods (USD/Capita),4386,4373,4690,5057,5069,4987,5314,5577,6069,6607,6808,6944,6413,6642,7009,7213,7334,7502,7287,7284,7481,7619,7577
Idaho,Food and beverages purchased for off-premises consumption (USD/Capita),1860,1881,2018,2091,2099,2005,2134,2212,2314,2496,2603,2574,2543,2490,2555,2676,2746,2838,2882,2924,2942,2913,2902
Idaho,Clothing and footwear (USD/Capita),629,625,634,666,671,657,673,685,722,753,771,759,730,735,744,785,798,803,816,842,830,872,874
Idaho,Gasoline and other energy goods (USD/Capita),667,580,644,818,762,715,806,906,1104,1290,1381,1554,1099,1350,1591,1594,1614,1571,1205,1051,1201,1336,1220
Idaho,Other nondurable goods (USD/Capita),1228,1285,1392,1481,1536,1608,1700,1772,1928,2066,2052,2055,2039,2065,2118,2157,2174,2290,2383,2466,2505,2498,2579
Idaho,Services (USD/Capita),10028,10538,11072,11772,12291,12835,13331,14034,14815,15540,16218,16756,16719,17073,17687,18247,18853,19613,20603,21519,22607,23717,24585
Idaho,Household consumption expenditures (for services) (USD/Capita),9784,10254,10735,11422,11888,12407,12909,13660,14504,15211,15896,16361,16338,16707,17337,17858,18471,19253,20282,21178,22183,23291,24184
Idaho,Housing and utilities (USD/Capita),3116,3257,3396,3591,3811,3968,4016,4190,4464,4567,4674,4846,4926,4915,5149,5369,5639,5796,6095,6205,6405,6507,6606
Idaho,Health care (USD/Capita),2151,2273,2370,2521,2727,3006,3194,3395,3641,3795,3981,4130,4335,4493,4714,4876,4994,5265,5613,5957,6171,6487,6777
Idaho,Transportation services (USD/Capita),525,558,602,656,655,657,676,697,734,774,802,800,738,718,730,729,779,823,852,893,928,998,1059
Idaho,Recreation services (USD/Capita),601,596,639,672,658,690,728,818,883,990,1065,1070,1016,1024,1013,1061,1103,1153,1247,1370,1488,1628,1710
Idaho,Food services and accommodations (USD/Capita),1032,1080,1109,1189,1212,1254,1312,1385,1464,1578,1657,1675,1588,1620,1682,1754,1783,1885,1992,2080,2178,2305,2390
Idaho,Financial services and insurance (USD/Capita),1245,1323,1418,1578,1541,1528,1588,1719,1849,1939,2089,2176,2084,2247,2379,2414,2540,2662,2736,2847,3098,3347,3507
Idaho,Other services (USD/Capita),1110,1165,1198,1212,1281,1300,1392,1452,1466,1565,1625,1662,1648,1687,1666,1653,1629,1667,1743,1823,1913,2016,2132
Idaho,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),244,284,337,349,403,428,422,374,310,329,322,394,381,365,350,388,382,360,321,341,424,425,400
Idaho,Gross output of nonprofit institutions (USD/Capita),1566,1652,1752,1796,1937,2063,2126,2151,2169,2283,2348,2493,2595,2724,2802,2941,3010,3159,3376,3653,3390,3563,3666
Idaho,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1322,1368,1415,1446,1534,1634,1703,1777,1858,1954,2025,2098,2214,2358,2452,2553,2628,2799,3055,3312,2966,3138,3265
Illinois,Personal income (millions of dollars),346339,367350,383422,412423,427473,432412,439954,457435,476560,508470,538060,551531,525210,540492,567967,593239,607671,637280,665490,672019,693273,727064,744640
Illinois,Population (persons) 1/,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821
Illinois,Per capita personal income (dollars) 2/,28422,29934,31024,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42093,44140,46050,47124,49461,51753,52417,54252,57145,58764
Illinois,Personal consumption expenditures (USD/Capita),21327,22370,23422,25186,25980,26756,27812,29226,30800,32254,33664,34267,33417,34336,35476,36240,36861,38393,39774,41139,42818,44740,46198
Illinois,Goods (USD/Capita),7337,7547,7990,8615,8696,8842,9065,9558,9975,10413,10907,10673,10027,10380,10945,11125,11247,11507,11707,11922,12448,12986,13456
Illinois,Durable goods (USD/Capita),2752,2911,3141,3350,3386,3497,3487,3633,3726,3738,3936,3594,3310,3408,3548,3629,3724,3829,3989,4121,4274,4401,4576
Illinois,Motor vehicles and parts (USD/Capita),1139,1211,1327,1330,1402,1415,1382,1383,1364,1277,1291,1132,1069,1119,1175,1232,1268,1338,1420,1450,1473,1521,1524
Illinois,Furnishings and durable household equipment (USD/Capita),601,626,659,749,756,786,804,838,879,883,904,824,738,742,751,767,791,811,868,920,960,988,1016
Illinois,Recreational goods and vehicles (USD/Capita),635,671,724,805,786,841,827,898,941,993,1106,1025,923,941,973,978,1003,1003,1002,1045,1120,1153,1268
Illinois,Other durable goods (USD/Capita),375,402,430,465,440,453,472,513,541,584,634,613,578,604,647,651,661,675,698,704,720,738,766
Illinois,Nondurable goods (USD/Capita),4585,4636,4848,5264,5309,5345,5577,5925,6248,6674,6970,7079,6716,6972,7397,7495,7522,7678,7718,7801,8173,8584,8880
Illinois,Food and beverages purchased for off-premises consumption (USD/Capita),1595,1599,1637,1762,1817,1846,1931,2048,2136,2263,2376,2396,2350,2355,2433,2451,2479,2547,2616,2644,2742,2834,2942
Illinois,Clothing and footwear (USD/Capita),979,1016,1029,1089,1055,1030,1043,1080,1129,1143,1142,1117,1053,1090,1141,1162,1172,1204,1237,1258,1259,1297,1314
Illinois,Gasoline and other energy goods (USD/Capita),445,390,423,514,484,453,528,615,732,844,925,1046,758,888,1090,1115,1081,1042,796,708,808,962,879
Illinois,Other nondurable goods (USD/Capita),1564,1629,1757,1897,1951,2014,2073,2180,2250,2423,2525,2519,2553,2637,2731,2765,2789,2884,3067,3190,3363,3490,3744
Illinois,Services (USD/Capita),13989,14822,15431,16571,17283,17913,18746,19667,20824,21841,22757,23593,23389,23956,24531,25114,25614,26886,28066,29216,30370,31754,32741
Illinois,Household consumption expenditures (for services) (USD/Capita),13298,14004,14572,15606,16244,16783,17623,18559,19696,20586,21535,22159,21972,22491,23018,23433,23941,25123,26319,27315,28416,29635,30668
Illinois,Housing and utilities (USD/Capita),3924,4050,4218,4501,4803,4910,5147,5359,5764,5976,6217,6445,6409,6417,6477,6460,6558,6875,7080,7364,7691,8007,8350
Illinois,Health care (USD/Capita),2871,2973,3077,3265,3502,3740,3922,4131,4395,4625,4960,5138,5341,5571,5669,5821,5947,6232,6497,6780,6989,7216,7378
Illinois,Transportation services (USD/Capita),938,985,1032,1091,1048,982,1014,1040,1078,1115,1142,1162,1096,1127,1227,1248,1300,1390,1464,1511,1563,1646,1678
Illinois,Recreation services (USD/Capita),815,851,886,935,949,976,1020,1098,1161,1236,1324,1373,1367,1421,1438,1496,1520,1556,1674,1741,1775,1845,1889
Illinois,Food services and accommodations (USD/Capita),1268,1356,1353,1450,1509,1549,1627,1735,1860,1976,2067,2095,2046,2091,2173,2256,2313,2399,2603,2719,2826,2962,3074
Illinois,Financial services and insurance (USD/Capita),1434,1572,1729,1952,1880,1961,2074,2272,2417,2478,2518,2510,2277,2355,2465,2568,2673,2833,3041,3149,3359,3544,3696
Illinois,Other services (USD/Capita),2045,2214,2274,2410,2551,2662,2816,2920,3018,3176,3303,3434,3432,3506,3566,3580,3627,3834,3957,4048,4210,4412,4601
Illinois,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),690,817,859,965,1039,1129,1123,1108,1128,1255,1222,1434,1417,1465,1512,1681,1672,1763,1746,1901,1953,2119,2073
Illinois,Gross output of nonprofit institutions (USD/Capita),2540,2761,2843,3033,3210,3466,3531,3655,3816,4058,4129,4410,4533,4680,4801,5059,5137,5384,5522,5842,6028,6449,6534
Illinois,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1849,1943,1984,2068,2171,2336,2408,2546,2688,2803,2906,2976,3115,3215,3288,3377,3465,3621,3775,3941,4074,4330,4460
Indiana,Personal income (millions of dollars),143496,154850,161356,171989,175850,178418,182652,191298,197696,209427,216814,226332,220274,230109,245346,257149,260424,270985,281848,289731,301238,316836,327712
Indiana,Population (persons) 1/,5955267,5998880,6044969,6091866,6127760,6155967,6196638,6233007,6278616,6332669,6379599,6424806,6459325,6490432,6516528,6537703,6568713,6593644,6608422,6634304,6658078,6695497,6732219
Indiana,Per capita personal income (dollars) 2/,24096,25813,26693,28233,28697,28983,29476,30691,31487,33071,33986,35228,34102,35454,37650,39333,39646,41098,42650,43672,45244,47321,48678
Indiana,Personal consumption expenditures (USD/Capita),18674,19563,20665,21748,22539,23303,24256,25739,26998,27923,28754,29236,28675,29420,30539,31620,32211,33114,33896,35064,36715,38092,39145
Indiana,Goods (USD/Capita),7370,7599,8147,8520,8650,8819,9142,9653,10021,10311,10499,10480,9815,10235,10774,11082,11255,11510,11584,11852,12460,12851,13038
Indiana,Durable goods (USD/Capita),2614,2785,3006,3076,3103,3221,3282,3430,3475,3427,3430,3169,2941,3065,3165,3285,3350,3486,3681,3815,4022,4171,4250
Indiana,Motor vehicles and parts (USD/Capita),1155,1232,1328,1303,1340,1382,1348,1362,1307,1216,1226,1045,988,1062,1106,1160,1202,1289,1407,1430,1499,1580,1574
Indiana,Furnishings and durable household equipment (USD/Capita),565,596,647,690,690,714,735,773,807,813,794,748,671,695,712,742,755,773,824,872,922,963,989
Indiana,Recreational goods and vehicles (USD/Capita),597,643,693,728,731,769,826,901,947,955,945,920,842,847,862,890,899,920,934,990,1068,1090,1146
Indiana,Other durable goods (USD/Capita),295,312,336,354,342,355,371,392,413,441,463,454,438,459,483,491,492,502,514,521,531,536,540
Indiana,Nondurable goods (USD/Capita),4755,4814,5141,5443,5546,5598,5860,6223,6545,6883,7069,7310,6874,7169,7609,7797,7905,8023,7902,8037,8438,8680,8787
Indiana,Food and beverages purchased for off-premises consumption (USD/Capita),1799,1821,1881,1908,1930,1934,1990,2113,2213,2270,2320,2405,2415,2408,2473,2524,2574,2649,2750,2827,2923,2953,2984
Indiana,Clothing and footwear (USD/Capita),794,814,857,867,863,867,873,880,891,897,882,865,833,862,888,902,898,911,927,964,973,998,1008
Indiana,Gasoline and other energy goods (USD/Capita),629,570,636,795,797,741,863,1010,1192,1350,1455,1613,1137,1333,1599,1632,1617,1520,1156,1033,1163,1316,1255
Indiana,Other nondurable goods (USD/Capita),1532,1607,1766,1872,1956,2054,2133,2218,2248,2365,2410,2425,2487,2565,2647,2738,2815,2942,3067,3212,3379,3411,3538
Indiana,Services (USD/Capita),11304,11964,12517,13228,13888,14483,15113,16086,16977,17612,18254,18756,18860,19185,19765,20537,20955,21604,22311,23211,24254,25241,26106
Indiana,Household consumption expenditures (for services) (USD/Capita),10814,11381,11903,12559,13178,13741,14412,15330,16158,16741,17436,17815,17912,18217,18756,19458,19850,20475,21188,22001,22993,23920,24806
Indiana,Housing and utilities (USD/Capita),3057,3183,3336,3503,3765,3874,4016,4182,4492,4674,4822,5001,5030,5021,5119,5166,5280,5450,5594,5713,5912,6114,6324
Indiana,Health care (USD/Capita),2689,2847,2944,3111,3352,3643,3893,4241,4451,4676,4971,5084,5409,5558,5763,6217,6314,6484,6731,7117,7519,7812,8156
Indiana,Transportation services (USD/Capita),688,722,778,816,824,807,814,822,857,861,876,873,810,821,875,902,941,1002,1043,1119,1153,1198,1216
Indiana,Recreation services (USD/Capita),868,882,908,944,945,969,1019,1086,1112,1128,1187,1237,1228,1268,1271,1322,1365,1379,1423,1486,1519,1556,1600
Indiana,Food services and accommodations (USD/Capita),1155,1204,1276,1324,1359,1412,1468,1557,1630,1696,1728,1751,1730,1781,1852,1929,1982,2032,2140,2197,2240,2323,2367
Indiana,Financial services and insurance (USD/Capita),973,1064,1167,1296,1261,1305,1376,1509,1626,1648,1701,1675,1514,1543,1609,1624,1678,1763,1855,1913,2122,2293,2431
Indiana,Other services (USD/Capita),1379,1475,1491,1561,1668,1728,1823,1929,1987,2056,2148,2191,2188,2223,2264,2295,2288,2361,2400,2453,2526,2621,2709
Indiana,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),489,582,614,668,710,742,701,756,819,870,818,940,948,968,1009,1079,1104,1129,1123,1210,1260,1320,1300
Indiana,Gross output of nonprofit institutions (USD/Capita),1892,2029,2093,2198,2310,2433,2374,2588,2791,2878,2874,3047,3157,3270,3374,3526,3597,3645,3745,3982,4186,4358,4502
Indiana,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1402,1446,1479,1529,1600,1691,1673,1832,1972,2007,2056,2107,2209,2301,2365,2447,2493,2515,2622,2771,2926,3037,3201
Iowa,Personal income (millions of dollars),69956,73327,75330,80442,82725,84646,86452,93511,96563,102580,109889,116255,112628,116247,125560,131984,134463,139303,144493,145756,149732,157980,163638
Iowa,Population (persons) 1/,2891119,2902872,2917634,2929067,2931997,2934234,2941999,2953635,2964454,2982644,2999212,3016734,3032870,3050745,3066336,3076190,3092997,3109350,3120960,3131371,3141550,3148618,3155070
Iowa,Per capita personal income (dollars) 2/,24197,25260,25819,27463,28215,28848,29385,31660,32574,34392,36640,38537,37136,38105,40948,42905,43474,44801,46298,46547,47662,50175,51865
Iowa,Personal consumption expenditures (USD/Capita),18569,19529,20624,21756,22364,22919,24007,25399,26674,27976,29015,29954,29783,30569,31847,32707,33322,34387,35109,36169,37448,38609,39323
Iowa,Goods (USD/Capita),7198,7453,7986,8397,8452,8542,8965,9625,10047,10629,10966,11185,10790,11155,11943,12237,12329,12544,12394,12523,12895,13249,13326
Iowa,Durable goods (USD/Capita),2655,2840,3036,3090,3124,3199,3304,3511,3509,3573,3625,3489,3432,3544,3682,3825,3929,4047,4204,4326,4460,4578,4637
Iowa,Motor vehicles and parts (USD/Capita),1177,1265,1351,1331,1391,1386,1352,1383,1342,1275,1315,1212,1223,1331,1379,1467,1526,1594,1707,1741,1790,1844,1832
Iowa,Furnishings and durable household equipment (USD/Capita),542,575,624,653,654,692,722,773,781,795,785,766,730,721,742,768,788,804,823,878,914,937,942
Iowa,Recreational goods and vehicles (USD/Capita),603,652,693,721,710,743,826,922,944,1020,1030,1010,973,971,1027,1043,1067,1089,1110,1138,1177,1212,1274
Iowa,Other durable goods (USD/Capita),332,345,366,384,366,376,403,432,440,482,494,501,504,520,533,545,546,558,562,568,578,582,587
Iowa,Nondurable goods (USD/Capita),4542,4613,4950,5306,5328,5342,5661,6114,6538,7055,7340,7695,7357,7611,8260,8411,8400,8497,8190,8197,8435,8671,8689
Iowa,Food and beverages purchased for off-premises consumption (USD/Capita),1616,1668,1756,1814,1862,1845,1904,2009,2103,2198,2308,2414,2493,2447,2594,2664,2688,2736,2788,2824,2851,2870,2865
Iowa,Clothing and footwear (USD/Capita),738,759,796,809,795,786,806,825,843,858,837,847,855,874,871,881,878,889,896,908,909,943,942
Iowa,Gasoline and other energy goods (USD/Capita),732,658,748,932,883,815,922,1114,1320,1503,1635,1874,1386,1614,1989,1994,1942,1839,1446,1276,1403,1558,1478
Iowa,Other nondurable goods (USD/Capita),1455,1526,1649,1750,1786,1895,2027,2164,2270,2494,2559,2558,2623,2675,2805,2871,2891,3031,3058,3186,3271,3298,3402
Iowa,Services (USD/Capita),11370,12076,12638,13359,13912,14377,15041,15773,16627,17347,18049,18769,18992,19413,19903,20470,20992,21842,22714,23645,24552,25360,25996
Iowa,Household consumption expenditures (for services) (USD/Capita),10789,11398,11909,12583,13047,13494,14098,14871,15720,16390,17130,17722,17881,18257,18695,19194,19695,20521,21354,22193,23051,23814,24444
Iowa,Housing and utilities (USD/Capita),2876,2993,3132,3346,3564,3654,3823,4006,4313,4515,4679,4776,4781,4815,4909,5041,5226,5416,5599,5838,6072,6299,6516
Iowa,Health care (USD/Capita),2697,2876,3015,3191,3428,3666,3812,4041,4279,4477,4680,4904,5086,5223,5347,5480,5533,5800,6036,6319,6437,6539,6702
Iowa,Transportation services (USD/Capita),562,603,648,664,664,645,646,678,719,762,799,816,809,805,827,841,884,954,994,1021,1061,1088,1102
Iowa,Recreation services (USD/Capita),836,869,900,874,864,882,928,989,1011,1066,1145,1191,1233,1262,1248,1296,1323,1340,1398,1470,1469,1518,1543
Iowa,Food services and accommodations (USD/Capita),1031,1077,1108,1192,1204,1254,1314,1386,1461,1529,1597,1668,1652,1660,1727,1813,1938,2005,2098,2169,2239,2298,2325
Iowa,Financial services and insurance (USD/Capita),1100,1180,1272,1418,1388,1432,1501,1623,1727,1757,1855,1935,1852,1961,2108,2203,2292,2465,2625,2722,3019,3179,3267
Iowa,Other services (USD/Capita),1683,1797,1832,1895,1931,1959,2072,2145,2206,2280,2372,2430,2465,2528,2527,2516,2496,2536,2601,2652,2751,2890,2986
Iowa,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),581,677,728,775,865,883,943,902,907,956,918,1046,1110,1155,1208,1276,1296,1321,1360,1452,1501,1546,1552
Iowa,Gross output of nonprofit institutions (USD/Capita),2098,2216,2297,2377,2571,2695,2803,2844,2924,3000,3022,3207,3382,3508,3622,3755,3813,3867,4038,4253,4358,4454,4542
Iowa,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1516,1538,1569,1601,1706,1812,1860,1942,2017,2043,2104,2160,2271,2352,2414,2479,2516,2545,2678,2801,2856,2908,2989
Kansas,Personal income (millions of dollars),65771,69809,72144,76079,78574,79239,81485,83847,88707,97937,105257,114543,110724,113077,122562,130182,132978,135975,137721,137945,142185,149239,155647
Kansas,Population (persons) 1/,2635292,2660598,2678338,2693681,2702162,2713535,2723004,2734373,2745299,2762931,2783785,2808076,2832704,2858190,2869225,2885257,2893212,2900475,2909011,2910844,2908718,2911359,2913314
Kansas,Per capita personal income (dollars) 2/,24958,26238,26936,28244,29078,29202,29925,30664,32312,35447,37811,40791,39088,39563,42716,45120,45962,46881,47343,47390,48883,51261,53426
Kansas,Personal consumption expenditures (USD/Capita),18081,19128,20347,21602,22376,22915,23958,25298,26511,28038,29408,30159,29563,29900,31084,31927,32421,33503,34481,35546,36675,37904,38898
Kansas,Goods (USD/Capita),7305,7649,8153,8488,8602,8559,8879,9310,9716,10252,10765,10832,10238,10496,11074,11460,11501,11770,11821,11960,12225,12546,12733
Kansas,Durable goods (USD/Capita),2611,2802,2988,3031,3094,3117,3182,3381,3373,3498,3693,3550,3337,3404,3457,3660,3625,3728,3838,3945,4025,4124,4194
Kansas,Motor vehicles and parts (USD/Capita),1127,1204,1276,1265,1308,1323,1284,1291,1277,1255,1299,1173,1112,1189,1218,1348,1353,1399,1474,1513,1549,1609,1608
Kansas,Furnishings and durable household equipment (USD/Capita),540,588,620,659,668,683,732,812,814,883,928,897,830,820,825,858,866,915,950,998,1024,1042,1051
Kansas,Recreational goods and vehicles (USD/Capita),627,672,736,734,751,748,791,881,887,925,987,997,926,919,909,930,883,880,864,886,906,915,969
Kansas,Other durable goods (USD/Capita),315,337,355,371,366,362,374,396,394,433,477,482,467,475,503,522,521,532,549,546,544,556,564
Kansas,Nondurable goods (USD/Capita),4694,4847,5164,5457,5507,5442,5697,5928,6342,6754,7072,7282,6900,7092,7616,7800,7876,8041,7983,8015,8199,8422,8539
Kansas,Food and beverages purchased for off-premises consumption (USD/Capita),1811,1868,1959,2024,2041,2008,2103,2167,2365,2463,2594,2674,2661,2614,2748,2784,2813,2905,2994,3050,3138,3141,3148
Kansas,Clothing and footwear (USD/Capita),739,791,799,819,819,804,799,779,790,833,872,870,833,852,879,900,899,911,927,938,931,951,951
Kansas,Gasoline and other energy goods (USD/Capita),567,510,574,688,651,604,699,809,972,1093,1169,1283,938,1095,1363,1375,1384,1333,1034,910,976,1077,1023
Kansas,Other nondurable goods (USD/Capita),1576,1676,1830,1924,1995,2024,2094,2171,2214,2363,2434,2454,2465,2530,2625,2739,2777,2890,3026,3115,3153,3251,3415
Kansas,Services (USD/Capita),10775,11478,12194,13113,13774,14356,15078,15988,16795,17785,18643,19326,19325,19404,20010,20466,20919,21733,22660,23585,24449,25358,26165
Kansas,Household consumption expenditures (for services) (USD/Capita),10476,11092,11709,12573,13201,13781,14463,15353,16226,17087,17998,18564,18557,18632,19166,19548,20008,20802,21730,22580,23390,24251,25061
Kansas,Housing and utilities (USD/Capita),3080,3229,3347,3597,3831,3910,4048,4242,4547,4759,4894,5036,5100,5076,5179,5257,5408,5629,5843,6116,6359,6643,6831
Kansas,Health care (USD/Capita),2785,2877,3030,3152,3425,3649,3849,4134,4378,4546,4810,5049,5187,5282,5489,5705,5745,5865,6161,6397,6556,6729,7042
Kansas,Transportation services (USD/Capita),599,625,640,663,690,672,678,699,740,791,804,830,806,797,821,828,850,891,920,954,972,1008,1010
Kansas,Recreation services (USD/Capita),497,543,636,736,772,877,948,1031,1052,1130,1271,1259,1193,1125,1106,1126,1189,1246,1265,1295,1299,1316,1328
Kansas,Food services and accommodations (USD/Capita),1102,1163,1152,1198,1232,1271,1346,1462,1521,1629,1646,1683,1689,1715,1779,1854,1923,2002,2120,2171,2244,2303,2351
Kansas,Financial services and insurance (USD/Capita),1102,1192,1316,1481,1428,1469,1544,1678,1830,1947,2146,2274,2188,2281,2377,2377,2483,2647,2834,2993,3233,3411,3522
Kansas,Other services (USD/Capita),1309,1459,1586,1743,1819,1930,2046,2104,2156,2282,2425,2430,2392,2353,2413,2399,2407,2518,2584,2651,2724,2838,2975
Kansas,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),298,386,484,540,572,574,615,634,568,698,644,762,767,771,843,917,911,931,929,1004,1059,1107,1103
Kansas,Gross output of nonprofit institutions (USD/Capita),1684,1806,1998,2130,2230,2315,2397,2548,2580,2865,2873,3040,3141,3215,3361,3502,3546,3671,3827,4070,4218,4353,4529
Kansas,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1386,1419,1513,1590,1657,1740,1782,1914,2011,2167,2228,2278,2373,2444,2517,2584,2634,2739,2897,3065,3159,3246,3426
Kentucky,Personal income (millions of dollars),84542,89546,93441,100796,104181,106570,109617,116046,121757,128867,134575,140523,138823,144103,151299,156827,158218,165914,173495,176435,182116,188876,195548
Kentucky,Population (persons) 1/,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4348181,4369821,4386346,4404659,4414349,4425976,4438182,4452268,4461153,4467673
Kentucky,Per capita personal income (dollars) 2/,21388,22469,23255,24894,25609,26057,26624,27989,29110,30543,31615,32757,32157,33141,34624,35754,35921,37585,39199,39754,40904,42338,43770
Kentucky,Personal consumption expenditures (USD/Capita),17067,17924,18902,20079,20683,21449,22349,23469,24656,25745,26398,26963,26810,27553,28659,29329,29773,30729,31783,33000,34127,35324,36347
Kentucky,Goods (USD/Capita),6911,7181,7764,8215,8280,8518,8834,9335,9689,10167,10331,10379,10016,10403,10977,11233,11268,11469,11635,11908,12345,12761,12948
Kentucky,Durable goods (USD/Capita),2320,2453,2645,2750,2705,2847,2896,3022,3044,3068,3115,2845,2710,2809,2899,3066,3108,3188,3424,3566,3645,3767,3853
Kentucky,Motor vehicles and parts (USD/Capita),1052,1120,1200,1207,1196,1239,1226,1234,1195,1133,1135,987,947,1041,1074,1155,1183,1226,1352,1369,1390,1439,1421
Kentucky,Furnishings and durable household equipment (USD/Capita),522,551,588,622,604,650,667,706,731,736,740,673,630,635,636,672,678,685,726,775,806,844,879
Kentucky,Recreational goods and vehicles (USD/Capita),491,511,561,609,601,643,674,733,753,799,815,772,730,719,747,786,793,808,858,930,963,989,1052
Kentucky,Other durable goods (USD/Capita),253,270,294,311,303,313,329,348,363,398,423,411,401,412,440,451,452,468,488,490,484,494,499
Kentucky,Nondurable goods (USD/Capita),4591,4727,5119,5464,5574,5671,5938,6312,6644,7098,7215,7534,7305,7594,8077,8166,8160,8280,8210,8342,8699,8993,9094
Kentucky,Food and beverages purchased for off-premises consumption (USD/Capita),1713,1773,1863,1918,1968,1991,2065,2193,2283,2353,2439,2563,2646,2667,2755,2828,2847,2910,3007,3085,3201,3243,3252
Kentucky,Clothing and footwear (USD/Capita),701,730,784,784,775,765,772,773,789,820,813,788,759,767,791,796,787,815,835,866,867,885,891
Kentucky,Gasoline and other energy goods (USD/Capita),623,555,603,758,712,674,799,939,1131,1360,1339,1533,1121,1303,1584,1573,1539,1454,1099,971,1082,1217,1145
Kentucky,Other nondurable goods (USD/Capita),1552,1667,1867,2003,2119,2239,2300,2406,2440,2563,2624,2648,2777,2855,2945,2968,2985,3101,3268,3418,3548,3647,3806
Kentucky,Services (USD/Capita),10156,10743,11138,11863,12402,12931,13514,14133,14967,15578,16067,16583,16793,17149,17682,18096,18504,19259,20148,21092,21782,22562,23399
Kentucky,Household consumption expenditures (for services) (USD/Capita),9782,10279,10673,11330,11842,12363,12905,13541,14330,14813,15328,15741,15935,16278,16755,17132,17494,18233,19104,19992,20635,21379,22199
Kentucky,Housing and utilities (USD/Capita),2579,2680,2807,2985,3176,3270,3401,3563,3829,3967,4121,4252,4290,4352,4445,4581,4715,4913,5076,5288,5472,5706,5910
Kentucky,Health care (USD/Capita),2786,2913,3007,3195,3448,3713,3841,4070,4316,4486,4669,4789,5013,5105,5293,5365,5455,5664,6045,6438,6600,6744,6991
Kentucky,Transportation services (USD/Capita),522,557,589,621,585,581,650,639,650,599,609,611,558,553,587,584,589,606,627,666,685,737,791
Kentucky,Recreation services (USD/Capita),707,715,746,772,775,799,851,897,922,958,1012,1063,1081,1104,1091,1135,1157,1187,1241,1290,1322,1353,1383
Kentucky,Food services and accommodations (USD/Capita),1116,1185,1186,1213,1251,1307,1373,1465,1537,1613,1650,1684,1712,1760,1824,1904,1922,2006,2110,2193,2229,2300,2375
Kentucky,Financial services and insurance (USD/Capita),977,1064,1154,1275,1248,1285,1305,1372,1458,1469,1487,1523,1424,1524,1623,1684,1782,1952,2064,2140,2286,2401,2476
Kentucky,Other services (USD/Capita),1092,1163,1180,1266,1356,1405,1482,1533,1615,1718,1776,1816,1853,1877,1889,1876,1871,1902,1938,1973,2038,2135,2269
Kentucky,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),373,463,464,533,559,567,608,592,636,764,738,841,858,871,926,964,1010,1026,1043,1099,1146,1183,1200
Kentucky,Gross output of nonprofit institutions (USD/Capita),1565,1734,1753,1884,1971,2058,2161,2237,2393,2647,2677,2815,2925,3009,3112,3209,3296,3342,3556,3767,3862,3949,4102
Kentucky,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1191,1271,1288,1350,1411,1491,1552,1644,1756,1883,1938,1973,2066,2138,2185,2244,2285,2316,2512,2668,2716,2766,2902
Louisiana,Personal income (millions of dollars),94400,98944,101397,107072,114459,117698,121132,126295,135921,143643,157374,168070,163751,171098,177105,186589,189197,198233,200110,198952,205188,215308,220629
Louisiana,Population (persons) 1/,4421071,4440344,4460811,4471885,4477875,4497267,4521042,4552238,4576628,4302665,4375581,4435586,4491648,4544532,4575625,4600972,4624527,4644013,4664628,4678135,4670560,4659690,4648794
Louisiana,Per capita personal income (dollars) 2/,21352,22283,22731,23943,25561,26171,26793,27744,29699,33385,35966,37891,36457,37649,38706,40554,40912,42686,42900,42528,43932,46207,47460
Louisiana,Personal consumption expenditures (USD/Capita),16758,17606,18410,19375,20103,20806,21844,22997,23899,26964,27969,28648,28201,28918,29777,30430,31045,32022,32961,33638,34695,36074,37249
